Rank,Year,Title,Artist,Spotify_ID
86,2015,Ayo,Chris Brown&Tyga,0k6DnZMLoEUH8NGD5zh2SE
87,2015,Kick The Dust Up,Luke Bryan,5g15o2Sm55Hn9ShK5yEXgp
88,2015,Blessings,Big SeanFeaturingDrake,
89,2015,Budapest,George Ezra,2ixsaeFioXJmMgkkbd4uj1
90,2015,Chandelier,Sia,2s1sdSqGcKxpPr5lCl7jAV
91,2015,Heartbeat Song,Kelly Clarkson,7FC9Lng8iXU081lbigu8m8
92,2015,Don't,Ed Sheeran,6gTJaPuj8DT8RjuDJyBgzP
93,2015,Ghost,Ella Henderson,4z7gh3aIZV9arbL9jJSc5J
94,2015,Here,Alessia Cara,5zUQZjVB6bfewBXWqsP9PY
95,2015,Waves,Mr. Probz,1HFfMOxCAT4GAwaPfCdmUs
96,2015,El Perdon (Forgiveness),Nicky Jam&Enrique Iglesias,7hOfyNuj2dLc0HAEYVDIYS
97,2015,She Knows,Ne-YoFeaturingJuicy J,
98,2015,Night Changes,One Direction,5O2P9iiztwhomNh8xkR9lJ
99,2015,Back To Back,Drake,5lFDtgWsjRJu8fPOAyJIAK
100,2015,How Deep Is Your Love,Calvin Harris& Disciples,22mek4IiqubGD9ctzxc69s
1,2016,Love Yourself,Justin Bieber,50kpGaPAhYJ3sGmk6vplg0
2,2016,Sorry,Justin Bieber,09CtPGIpYB4BrO8qb1RGsF
3,2016,One Dance,DrakeFeaturingWizkid&Kyla,
4,2016,Work,RihannaFeaturingDrake,
5,2016,Stressed Out,Twenty One Pilots,3CRDbSIZ4r5MsZ0YwxuEkn
6,2016,Panda,Desiigner,5YEOzOojehCqxGQCcQiyR4
7,2016,Hello,Adele,62PaSfnXSMyLshYJrlTuL3
8,2016,Don't Let Me Down,The ChainsmokersFeaturingDaya,
9,2016,Can't Stop The Feeling!,Justin Timberlake,1WkMMavIMc4JZ8cfMmxHkI
10,2016,Closer,The ChainsmokersFeaturingHalsey,
11,2016,Cheap Thrills,SiaFeaturingSean Paul,
12,2016,7 Years,Lukas Graham,5kqIPrATaCc2LqxVWzQGbk
13,2016,Needed Me,Rihanna,4pAl7FkDMNBsjykPXo91B3
14,2016,My House,Flo Rida,6Knv6wdA0luoMUuuoYi2i1
15,2016,I Took A Pill In Ibiza,Mike Posner,0vbtURX4qv1l7besfwmnD8
16,2016,Work From Home,Fifth HarmonyFeaturingTy Dolla $ign,
17,2016,This Is What You Came For,Calvin HarrisFeaturingRihanna,
18,2016,Cake By The Ocean,DNCE,76hfruVvmfQbw0eYn1nmeC
19,2016,"Me, Myself & I",G-EazyxBebe Rexha,
20,2016,Ride,Twenty One Pilots,2Z8WuEywRWYTKe1NybPQEW
21,2016,Heathens,Twenty One Pilots,6i0V12jOa3mr6uu4WYhUBr
22,2016,Pillowtalk,ZAYN,0PDUDa38GO8lMxLCRc4lL1
23,2016,Stitches,Shawn Mendes,5jsw9uXEGuKyJzs0boZ1bT
24,2016,Hotline Bling,Drake,0wwPcA6wtMf6HUMpIRdeP7
25,2016,Cold Water,Major LazerFeaturingJustin Bieber&Mo,
26,2016,Send My Love (To Your New Lover),Adele,0t7fVeEJxO2Xi4H2K5Svc9
27,2016,Roses,The ChainsmokersFeaturingROZES,
28,2016,Treat You Better,Shawn Mendes,3QGsuHI8jO1Rx4JWLUh9jd
29,2016,Too Good,DrakeFeaturingRihanna,
30,2016,Low Life,FutureFeaturingThe Weeknd,
31,2016,What Do You Mean?,Justin Bieber,4B0JvthVoAAuygILe3n4Bs
32,2016,The Hills,The Weeknd,7fBv7CLKzipRk6EC6TWHOB
33,2016,Just Like Fire,P!nk,7K5dzhGda2vRTaAWYI3hrb
34,2016,Broccoli,D.R.A.M. FeaturingLil Yachty,
35,2016,Don't,Bryson Tiller,3pXF1nA74528Edde4of9CC
36,2016,Dangerous Woman,Ariana Grande,6RUhbFEhrvGISaQ8u2j2JN
